zip_id,email,MOB,WOB,FTE,FY19,FY20,applied
665201,xopQ0tpc2g@gmail.com,0,1,40,91872.143586189,64351.534550654746,0
665201,UkzeH62kjI@outlook.com,1,0,NA,51838.183162216454,51640.507936745096,1
665201,Cv0KSGzYWN@gmail.com,1,0,44,108196.92691222705,82669.5640932266,0
665201,E5osJTEXko@gmail.com,0,0,89,687382.1747495238,820651.7093111841,1
665201,IAnE6bEiGi@gmail.com,NA,0,18,52717.03847898515,50783.464797159104,0
665201,imL5jgXfE1@mail.com,1,0,59,221609.6025965178,166251.3209693026,1
665201,BTq1GyT2Yp@gmail.com,0,1,97,879995.3028348398,670054.0308294154,0
665201,HyoYEq2sF2@outlook.com,0,1,76,353031.4336053843,311524.40603696345,0
665201,LxhmaVzMDa@gmail.com,0,0,67,356547.4454270638,301810.86904822296,0
665201,DnJkiFqXzx@inbox.com,0,1,98,909492.1635550857,669199.563906349,0
665201,dFekLhoTdN@gmail.com,1,NA,89,518879.3289182287,459336.51429202204,0
665201,6U0KRSDvRR@outlook.com,1,0,99,734782.5709497553,741934.8477042125,1
665201,praDsMjOdj@gmail.com,0,1,35,76480.81907981614,51899.29608310171,0
665201,viX8NPlUSy@mail.com,1,1,NA,538088.8456694089,NA,0
665201-0000,74Dkf0t2zb@inbox.com,0,0,20,55537.901666938495,48277.29411177349,0
665201,f5lLuAXaIG@gmail.com,1,1,47,111558.7080584127,87640.60627957793,0
665201,WskQVB9C6F@gmail.com,0,0,77,NA,426729.7512263498,0
665201,0SactJpAbG@inbox.com,0,0,NA,86926.2533970811,83455.66779052596,0
665201,KI5nyKLPS5@outlook.com,0,1,90,545504.2037532841,474034.7472207037,1
665201,54lVlDv5JA@inbox.com,0,0,99,1157540.909817446,963717.3298875545,1
665201,FWWIN7lLjt@gmail.com,1,1,96,664248.7642377515,558650.3596552747,0
665201,b80eWs9NQe@gmail.com,0,0,20,54153.4273653933,45925.92324399989,1
665201,cUfTh6SFCx@outlook.com,NA,1,74,327726.4487403825,315849.0807660641,0
665201,N7XbYVimlR@gmail.com,0,0,87,770914.0848767302,619346.8544589231,0
665201,SeQOJVlJU1@gmail.com,0,0,62,262677.693280067,270334.7910089699,0
665201,ao9O7HjyUV@gmail.com,NA,0,61,272261.53975462343,268410.1454773289,0
665201,48ExfNlqQ2@gmail.com,NA,0,120,1541107.8808128105,2165878.5943402117,1
665201,OmG60DVFur@gmail.com,1,0,109,1099739.3665056874,842019.3446776917,1
665201,5YfqgolzPN@gmail.com,0,1,26,50254.126673356375,42851.344052443485,0
665201,rJxdE8dYwz@outlook.com,0,0,84,597125.3007106686,644444.0513892869,0
665201,bZlA0U94UF@mail.com,0,NA,48,140469.09017062664,144400.94027039918,0
665201,qGNl0XIVNI@gmail.com,0,0,NA,NA,222838.05934513026,0
665201,zxBiQkOY97@mail.com,0,1,NA,607245.1713620921,560903.447681743,0
665201,gcfc6fD5b8@gmail.com,0,1,37,82391.21982649362,64999.761066117106,0
665201,xJ7YSVR4gv@gmail.com,0,0,79,608703.9029104394,538163.9928809373,0
665201,Mk3qVuVKzY@gmail.com,1,0,48,112360.35917482253,107571.16952939569,0
665201,d797mrdQVZ@gmail.com,NA,0,49,150075.5616544997,114791.66059538735,0
665201,TP3Th4NxO9@gmail.com,0,0,84,658398.9948879001,NA,0
665201,0IpJ6NTPmC@gmail.com,0,1,79,486373.75697841414,356497.75557197403,0
665201-0000,eH5tOLGJ4Y@gmail.com,1,0,69,235508.59611331415,236668.44510884702,1
665201,hx9svwuC6R@gmail.com,0,0,85,NA,682639.7641178662,1
665201,1R64srfc6F@gmail.com,0,0,74,565450.5907742406,426697.38414554275,0
665201,qCCPqr7YB2@outlook.com,0,0,28,66113.3364486749,62100.48208888367,0
665201,LtjPUSwHFl@gmail.com,0,0,1,42731.64611266686,43611.183673943866,0
665201,z0MletiZd3@gmail.com,0,0,67,NA,NA,0
665201,v03uAMJu99@inbox.com,1,0,95,866412.9072078726,393497.24988241756,0
665201,lp6O7mgNwC@gmail.com,NA,0,74,432444.9711666691,461379.1894113607,1
665201,Zxlvwy7nTZ@gmail.com,0,0,78,682292.8256383152,528936.7813694476,1
665201,rIotqGA8JH@inbox.com,0,0,37,92283.18120421775,83886.34322977679,0
665201,FPF7u56wZo@gmail.com,0,0,31,64771.08744796163,65059.542057831735,1
665201,WStl7Kf379@gmail.com,0,0,55,239704.55386407548,NA,0
665201,mwWvazbWzq@mail.com,0,1,58,162762.9624561005,171912.41372529598,0
665201,a5MJ0sC5LH@inbox.com,0,0,6,45136.5347935084,43101.5256460944,0
665201,tFZpoK0Pyc@inbox.com,0,0,46,133448.62667550385,127921.84122080692,1
665201,Q1o3e2lcyU@outlook.com,1,0,11,36851.596910174616,NA,0
665201,Ely1qtBKUk@gmail.com,1,0,42,88650.56763005722,80006.52084351207,0
665201,Xp9eQSpQO9@inbox.com,0,0,22,54772.742406150166,50216.434143958904,0
665201,U5NDOP4TFf@mail.com,0,1,75,316441.0009163306,357376.59064233524,0
665201,PJWrkRdFf0@gmail.com,1,NA,34,66172.36707422139,53120.132309846296,1
665201,NcSppM5FiR@outlook.com,0,0,73,346073.93712491926,415171.30852683913,0
665201,sR6Ju6EkIb@outlook.com,0,NA,94,877892.3747977098,874945.541236169,0
665201,aOx7x75lq0@gmail.com,0,0,105,NA,1388326.6186513272,1
665201,5JNEaHOhQv@gmail.com,0,1,40,85363.33342720663,77507.81983694251,1
665201,Pf2GrdhBsY@mail.com,0,1,85,567913.5554690773,426871.1249725047,0
665201,rPLUyu6Lsh@gmail.com,0,0,45,146473.0969438485,NA,0
665201,wumh44GFRP@gmail.com,0,0,8,44965.97358392803,43391.64370968272,0
665201-0000,D510oBQX8p@gmail.com,0,1,42,112587.83324609995,79014.25105570491,0
665201,aLNyqxlJhA@gmail.com,0,1,47,119070.18982205189,113479.33351905254,0
665201,Zh7EFGb2Pj@gmail.com,NA,1,8,31289.790870958164,26152.883485097584,0
665201,NfVCxxfK4e@outlook.com,0,1,52,156215.803044483,111154.65895970579,0
665201,PRaLwNhrCF@mail.com,0,0,10,45933.40757817611,43160.301513136525,0
665201,K38ObVnv1G@gmail.com,0,0,70,414192.96801106527,NA,0
665201,7cL1Z1BljK@outlook.com,0,0,62,345841.8366433423,282872.0073824534,1
665202,51F76xyriK@outlook.com,1,1,28,45257.134331260626,NA,0
665202,6v3AFs4TKU@outlook.com,0,0,31,65321.497458025726,65880.10094686713,0
665202,mj2XNvxIhV@outlook.com,1,1,79,301591.05250216,306137.28459826985,0
665202,AKcIpQbLe9@inbox.com,0,0,52,195763.76127674177,158811.60892048926,0
665202,Cf54N769Vc@gmail.com,1,0,19,38742.36288232095,33063.2039402464,0
665202,vSnW4hpagj@gmail.com,0,1,60,228352.29486644777,177647.19589532728,0
665202,BheSK742lI@gmail.com,0,0,NA,289888.1704668817,228547.28715936493,0
665202,3te4BgQuvk@gmail.com,1,0,33,67312.7258856701,56285.5607589703,0
665202,y2Zw6gitxy@inbox.com,1,0,16,40809.802948721765,31846.447011060667,0
665202,hrI99b2F96@gmail.com,0,1,80,474567.17431726004,329546.1372397698,1
665202,IdX6lopnY9@gmail.com,NA,0,56,230249.04379403527,209423.6440828663,0
665202,w0KoTX8FnN@gmail.com,0,0,37,98623.2271240386,86866.3465825727,0
665202,YY3Wpl5MkV@gmail.com,0,0,85,648425.8567654053,710690.2012600685,0
665202,FUJP6lgT4K@gmail.com,0,0,68,356460.6533202062,NA,0
665202,cfOMTsekQI@inbox.com,1,NA,97,745046.4235079858,480106.02712497057,0
665202,8jFABubnsh@inbox.com,0,0,92,715508.2382451359,780778.6772540208,0
665202,08tK7rJZ6g@gmail.com,0,0,24,54884.181010616696,55498.54144976464,0
665202,gSmrCY0ti4@gmail.com,1,0,58,179655.78085905517,141677.57208891722,0
665202,ne1qhoPoy7@mail.com,1,1,19,34473.82475452596,30447.385959435036,0
665202,2LHRBZgV05@gmail.com,0,1,87,495931.6489640754,464611.15531014884,0
665202,fWGtGGydif@outlook.com,1,0,37,76264.8352084889,70173.57737343143,0
665202,FDy78oM4Rf@mail.com,0,NA,12,36668.55581184277,30737.644794268115,0
665202,fesFnhgJEr@mail.com,0,0,77,370318.2468216426,542554.0273265287,0
665202,iXdH1CRiXO@gmail.com,0,0,10,46491.07156638915,44878.96421399468,0
665202,AdCLeiTLQS@gmail.com,0,1,18,NA,31033.736734285587,0
665202,LGV4fiNhpU@gmail.com,0,0,NA,NA,165744.57333159508,1
665202,o37xgZheeM@gmail.com,0,0,39,95837.97330890778,97296.68236256737,0
665202,xLvTpmiK7M@outlook.com,0,0,55,232749.20626808773,224105.6580128765,0
665202,0YA3OGmQRt@gmail.com,NA,0,88,504881.5965233765,497730.00910960604,0
665202,NB44z1C889@mail.com,0,1,4,NA,29578.91174425837,0
665202,o8Z79PejEb@gmail.com,0,0,106,1280040.000100529,1181953.6317597963,1
665202,3FB4dYYsV3@mail.com,0,0,67,404842.2952233946,341154.95688618225,1
665202,6jrjqAEKMP@outlook.com,0,0,16,49472.62571029538,48866.314702698066,0
665202,TqvYiTdCvk@gmail.com,0,0,NA,44185.94001298765,43504.94385863107,0
665202,7XeJU3H6M9@outlook.com,NA,0,63,335795.41141817614,311541.94453999604,0
665202,f4HrhiIeC3@gmail.com,NA,0,NA,423599.1013483563,442489.93374353525,0
665202,stAmIZ04z2@gmail.com,1,NA,64,213034.11586071656,136334.04844975442,0
665202,Ak4xon3J2Y@outlook.com,0,0,57,219484.9090567415,220242.11847959532,0
665202,Neb9OGPosw@outlook.com,1,1,NA,NA,57523.83944950512,1
665202,NqoGgnpa8x@gmail.com,0,0,59,290577.4812137812,232072.72034231722,0
665202,txXS70cwr1@mail.com,1,0,62,199750.05962689978,205797.43365929674,0
665202,M8LnRtjFBi@gmail.com,0,1,70,286141.29658702685,243966.79036263455,0
665202,5mwgMoBRwi@gmail.com,0,0,29,71975.5945878051,69707.68976815799,0
665202-0000,wQqvfqePjt@mail.com,0,1,35,67604.15218621511,58921.347171243535,0
665202,cIbMOON3De@gmail.com,0,1,8,35787.13395105455,29625.29509381642,0
665202,EvhVru6cME@gmail.com,0,0,38,89476.27024080594,97636.22141367481,0
665202,GV8hAbGnpx@gmail.com,0,0,34,79188.1889850292,81348.31564911515,1
665202,XbASParsds@outlook.com,0,0,98,883128.2350710108,861030.8050882223,1
665202,6zOtYXnrrr@outlook.com,0,0,67,265428.2855358458,332377.35736312426,0
665202,1ZrMVFGluR@gmail.com,0,1,22,45058.76133209502,36184.097169480534,0
665202,NyHhfbp5SD@inbox.com,NA,0,33,84506.41931628737,79374.1904334729,1
665202-0000,ZdNpqMN2fK@gmail.com,0,0,66,339464.7657580759,286199.2008561468,0
665202,alRT5EzfBO@outlook.com,0,0,66,337526.40485829825,301832.48725583515,0
665202,J8zdfeudhZ@outlook.com,0,NA,59,265949.7420746846,265231.93189462216,0
665202,lbTwQMrnDf@mail.com,0,1,2,36202.30739424915,28569.26504369089,0
665202,Rr1awhsIZJ@gmail.com,0,0,101,1099764.2853970956,1098323.7313498931,1
665202,qVi83okUWx@gmail.com,1,0,88,487609.49929497624,450625.4103749379,0
665202,KdrrhOOXop@gmail.com,NA,0,53,188914.47261151075,126033.16117514145,1
665202,n6moMw7V75@mail.com,NA,0,74,403992.4937455531,344951.49777714815,1
665202,p9LCTaxwtX@outlook.com,0,0,36,84891.2265544861,87483.24172902004,1
665202,6OcOYwkasF@outlook.com,0,0,70,308060.4973943078,424489.08474367816,0
665202,CrwZjyT7iN@gmail.com,1,0,65,276795.11114289047,229542.2233902389,0
665202,D7t9FkuAxE@mail.com,0,1,73,353466.04703980504,246888.35433849483,0
665202,dn0xLTziKc@mail.com,0,0,60,NA,275125.08582336653,1
665202,PfM1MkXhlV@inbox.com,0,0,41,113965.0058684999,113556.36330956867,1
665202,gMIjGMoDEu@gmail.com,0,0,119,1682776.4176449012,1340070.5084321972,1
665202,uwhMKeAmd5@gmail.com,0,0,3,45963.66967493482,44470.562022882885,0
665202,ktl97dYmwH@gmail.com,1,0,95,NA,619261.7365177518,0
665202,nGHdp7Ep3A@inbox.com,0,0,45,135828.23057647067,125396.93411512737,0
665202,6jXRs2mQJh@gmail.com,0,0,93,863965.2208964307,811540.7812952268,1
665202,qsJkyosYZE@outlook.com,0,0,82,686710.9254873325,NA,1
665202,5s83ng9Tya@outlook.com,0,0,58,244922.5879068284,NA,1
665202,VUXO0Ng2LI@outlook.com,NA,1,77,382585.3930118654,347601.62289166497,0
665202,fBZ40CnfYa@gmail.com,1,0,75,370655.9480038865,325974.5174135279,0
665202,qEWuBGrSio@gmail.com,1,0,67,303846.51195714244,220340.46360934156,0
665202,92gK8Kzf7h@gmail.com,0,0,28,71528.92132549257,65164.53865373291,1
665202,zQfS7qic2s@gmail.com,1,0,12,36608.438241786615,29967.20683887154,0
665202,mYOWAf56Cz@outlook.com,1,0,73,353669.029816689,286575.77195996686,0
665202,YEu7Q3qj0z@gmail.com,0,0,119,1680947.5560149406,NA,1
665202,tp9nJnBf49@inbox.com,0,0,54,196344.0371000319,179675.22009805596,0
665202,ONsXGuFGZj@gmail.com,0,0,95,905041.2237695262,939037.5772603675,0
665202,1MvpQhDeOt@inbox.com,0,0,77,474652.67532540654,484244.34884436225,1
665202,fB0z6t912P@mail.com,0,0,42,102490.77332578831,110626.65247902626,1
665202,wydLOz4UhQ@gmail.com,0,1,54,189433.74880867335,133601.79807476082,0
665202,SjIGfS5M4Q@mail.com,0,0,36,92382.91652909269,87833.07934867387,0
665202,5PnuABcJT9@gmail.com,1,1,86,350205.5787530459,288132.207759287,0
665202,Vpry0Gxvvn@inbox.com,0,1,81,NA,401114.89986757794,1
665202,H8PbKDGron@inbox.com,1,0,76,310612.28914085677,261931.64561194883,0
665202,KXAgTrMeVw@inbox.com,0,0,6,45894.51750605862,41835.36841568314,0
665202,YJeVOxckJ5@gmail.com,0,0,87,678053.5149814812,723989.2346046882,0
665202,Ydzv8yX6Np@gmail.com,0,0,27,62490.752946127475,61294.683345198755,1
665202,hvHhpdfOi4@gmail.com,1,1,70,216889.99049752185,237795.76372434513,0
665202,vrR0eNAh2u@gmail.com,0,1,86,649467.7536975144,508137.4976172407,0
665202,QiZMkNRBpr@gmail.com,0,0,112,1331996.3073290663,1523784.0725148646,1
665202,sFQqkfFp7o@gmail.com,1,0,NA,94967.70555044524,79519.12578456837,1
665202,6hxIZzFnON@inbox.com,1,0,60,191861.57922024306,163385.570879442,0
665202,1XbVmM3KcD@outlook.com,0,1,26,52016.72580225293,42086.440649199394,0
665202,8GvVF8BNnF@gmail.com,0,NA,36,94247.45762225249,85842.40513207762,1
665202,RRHAuG1tY3@mail.com,0,1,10,37330.172775323495,30937.503979343088,0
665202,EgGjdnAbOg@gmail.com,0,NA,37,94951.30042787363,83915.50053048832,0
665202,WEKa1DsQ9P@gmail.com,1,0,64,259528.977527547,202447.6610852173,1
665202,3eqYdNgy5f@gmail.com,NA,0,75,297392.35531671275,297025.8503274502,0
665202,8Z3CSnChp9@outlook.com,0,1,99,887824.8592599869,625885.9408729175,0
665202,ZIGFKkas96@gmail.com,0,0,26,61108.21979824797,57114.651100509014,0
665202,3QsqUjynOI@outlook.com,1,0,70,373197.7204814806,265155.40749783383,0
665202,UOwbN7pSoZ@gmail.com,1,0,NA,330854.42260661465,246910.79819690232,0
665202-0000,296zWCI5gG@gmail.com,0,0,19,51281.22792903647,51513.84887244422,0
665202,rD1wPqgFxE@inbox.com,1,0,53,150276.62176259558,115177.50205569324,1
665203,GG6NuPDFYg@outlook.com,0,0,71,419448.918460113,387266.86957604875,1
665203,v1TOVv1PMb@outlook.com,0,0,9,46347.157441939074,43399.17776863169,0
665203,lPVgVbOYeC@gmail.com,0,0,77,583131.4870860415,517293.1276952009,0
665203-0000,tm8N4kMHSD@gmail.com,0,1,54,168659.9889789777,NA,0
665203,thZ1FeMzAD@gmail.com,NA,0,31,65748.57224379943,NA,0
665203,Z6Qycljm77@gmail.com,0,0,65,316778.9543908309,296790.82587059645,0
665203,4FxM5xulPt@gmail.com,1,1,6,NA,24959.775661030944,0
665203,MX5D3MIznr@mail.com,0,0,12,47030.84183685728,42622.32898115698,0
665203,STgvMrbRdn@gmail.com,0,0,30,67648.52580705257,70797.64934576234,0
665203,XGDuOKzVlV@inbox.com,0,0,40,109949.35470359873,NA,0
665203,LxwVxxz9NW@inbox.com,0,1,23,43045.30722210133,36951.47205399556,0
665203-0000,SG2VYQ7p2p@gmail.com,0,0,66,327601.1925761872,345635.8900061532,0
665203,dn6yt8xUEk@gmail.com,0,0,14,49438.19376743381,45799.431179342195,0
665203,Km2pWU9aha@mail.com,1,0,NA,445899.6290865338,355246.82916846976,0
665203,v1xgicTobz@mail.com,0,0,0,45150.67824111519,42687.426362245715,0
665203,eQW6886xvL@inbox.com,NA,0,67,NA,230711.67049489514,0
665203,sRsCzgW2AW@gmail.com,0,0,22,60178.41319644857,51450.9922382626,0
665203,f4MjsIBMX5@gmail.com,0,0,2,45861.18099859904,43032.94232509689,0
665203,aOxZymBicJ@gmail.com,0,0,24,60990.92780672694,59775.37494385075,0
665203,Kao4ReL9uf@outlook.com,0,0,71,NA,383847.1032115517,0
665203,wOES9b9hop@gmail.com,0,0,34,91988.50754877343,78234.67818911083,0
665203,WjFcCgpzao@outlook.com,0,0,51,187921.34808550883,160274.71235141394,0
665203,1gy8LRCbeR@gmail.com,0,0,65,373835.07062861894,293704.1876870517,0
665203,65N7NuF5wj@mail.com,0,0,37,75911.55712463279,92531.44942884798,0
665203,9iWPG3R1L0@gmail.com,0,0,28,65401.86578400391,69229.35406884343,0
665203,wIetQcgBpg@mail.com,0,0,NA,243146.00805277767,201631.44771475205,0
665203,yWSoroNz8B@mail.com,0,0,51,192042.82893021117,179430.5418469835,0
665203,hKgTuTkil2@inbox.com,0,0,96,1148747.932785716,834102.6703138006,0
665203,TC7JAaCsae@mail.com,1,0,3,NA,30546.584978735402,0
665203,KDEGQPMAGa@outlook.com,0,0,100,1161490.2506687818,1256150.426836764,1
665203,RKd6SqBSGD@outlook.com,1,1,48,96060.86576666724,NA,0
665203,YWC01SSKYQ@gmail.com,1,0,NA,177122.97236537986,182043.26218957696,0
665203,dCCWiBOGPk@gmail.com,0,0,NA,115597.14412239737,110808.24059701979,0
665203,WMcMwpOQYd@outlook.com,0,0,99,888953.0094505554,875080.752352134,0
665203,WN6yuALgJN@inbox.com,0,0,82,732384.9790964178,737973.2917782012,0
665203,NbtVEztgB3@gmail.com,0,1,6,34673.94224606853,28236.717669127065,0
665203,HivQG76f5P@inbox.com,1,1,99,777955.5018803604,NA,0
665203,PHh6RFFOJc@gmail.com,0,0,38,98758.39255886328,110202.7899207817,0
665203,Gf8dWClbol@gmail.com,0,0,58,230587.76457662298,NA,0
665203,9Z1lUW8jwi@gmail.com,0,0,87,NA,705352.202188919,0
665203,WMm8vHeMN4@gmail.com,0,0,28,62961.70817153495,63124.19947986998,1
665203,pJ9TqyYBWV@gmail.com,0,0,NA,58469.53892287627,58291.02638591637,0
665203,r63zJFk2M3@mail.com,0,0,43,NA,111918.1169735958,0
665203,e3oQ10UIkv@inbox.com,0,0,62,324473.24371450586,266966.1797622199,0
665203,NOuyS9oLCs@gmail.com,0,1,46,87458.26614162834,93137.4130465544,0
665203,44SdVqaxk0@gmail.com,0,0,46,151785.65539861537,109739.81794033508,0
665203,AAzEQKCYSz@gmail.com,0,0,23,58848.89799487284,51502.2221031166,0
665203,9KuZKLiyBC@gmail.com,0,0,45,134224.56934386786,NA,0
665203,7fNxhoF4Pg@gmail.com,0,0,69,401781.298063369,NA,0
665203,HhStJIfZ42@mail.com,0,0,30,73240.43701355024,66895.83473023784,0
665203,FfgF6BiAuS@outlook.com,0,0,88,574819.8150567473,789833.3764711117,0
665203,N69LbWhBRm@gmail.com,0,0,80,590722.7749545316,515587.66436951363,1
665203,nEShjXUW8g@mail.com,0,0,3,45420.12844042691,42174.54907068938,0
665203,v0kLl0pP2g@gmail.com,NA,0,18,55205.05179284859,46965.1635545882,0
665203,Wyu7JXJqOk@gmail.com,0,0,12,47281.64978978499,44099.31775018614,0
665203,dUjnQGRPW7@outlook.com,NA,0,92,612843.3639591782,483121.8784013234,0
665203,YCjV9PNXfT@gmail.com,0,0,1,44128.05708753688,43489.83721875844,0
665203,YoaQFV6M1X@inbox.com,0,0,52,158491.54902491948,163394.7349735579,0
665203-0000,6UslnGGW68@gmail.com,1,0,NA,36320.434441896454,29480.490248249287,0
665203,xcmLJg0UC8@outlook.com,0,1,80,505720.89871520933,361755.1024843761,0
665203,6pnjVOjLy7@inbox.com,0,0,59,279963.52727309224,273095.9799771472,0
665203,Jg5ObPoRST@mail.com,0,0,37,96590.68467312514,90340.79511876314,0
665203,4C9bzulXKE@mail.com,0,0,79,426763.3270692154,485486.84671995346,0
665203,Q6E1AWxbxr@gmail.com,0,0,68,381302.35183888185,364560.0046823715,0
665203,WlVETJtFxj@gmail.com,0,0,7,45040.16166617602,43332.844958501904,0
665203,ti5Wrl8o2v@inbox.com,0,1,62,173132.12657215254,203295.75264621005,0
665203,FX0RhYBTQT@gmail.com,0,0,42,128986.56337037621,104904.39317561424,0
665203,XebcNazwhd@outlook.com,0,0,53,238944.04504812812,175391.65612095664,0
665203,RWdRBYbrUp@gmail.com,0,0,50,185070.47737617468,152778.70591755855,1
665203,f8vCjO1iCh@mail.com,0,1,86,553532.3715610629,509604.14601580804,0
665203,zRtwAsVHna@gmail.com,0,1,43,91120.9789748628,80662.14596302784,0
665203,kqUSytVjZD@mail.com,0,0,56,203843.12883704418,210625.99130188735,0
665203,pxlp0DicQY@gmail.com,0,0,6,46390.786846070674,44316.44620702372,0
665203,FvrpJKqNit@outlook.com,1,0,NA,500200.9930605096,408045.1552392217,0
665203,PrYgdc7mKZ@outlook.com,0,0,43,122795.07645821011,121085.0164271003,0
665203,lP99xqtGkY@gmail.com,0,1,55,166105.19536630635,150320.62167453085,0
665203,Hgrei43Vgq@mail.com,0,1,46,116942.05235546877,NA,0
665203,DcNcsJsCeL@outlook.com,0,0,21,51799.94527552107,NA,0
665203,z1G9Q1JlT6@inbox.com,0,0,99,1002334.3940227885,912077.4007988551,0
665203,9fFpk4CU5y@inbox.com,0,0,74,458200.1208422564,470278.83276358404,0
665203,z4FdwbK8cA@gmail.com,0,0,5,44740.08057146313,43295.97048613337,0
665203,YxZ2mb2bIX@gmail.com,0,NA,34,85768.06897354887,79302.72930159964,0
665203,WT8slVxNDk@inbox.com,0,NA,73,487345.1113995679,382717.1078846134,0
665203,izyi3K3Rio@gmail.com,NA,0,54,185049.79817592606,NA,0
665203,F3r2VwoWdB@mail.com,0,1,83,431196.80860737676,451172.42001215136,0
665203,ZzfXFVgb86@gmail.com,0,0,91,762594.2131015831,727845.8639990193,0
665203,OJ1LH72nJF@gmail.com,0,0,61,292198.97744945646,255020.5766427986,0
665203,yMTFaQd5qt@gmail.com,0,1,46,101485.96101651536,96179.00321572219,0
665203,iUx4njmkRf@mail.com,1,1,6,31408.38940512181,24376.056749509866,0
665203-0000,RDZbj7OLgu@gmail.com,0,0,84,736192.091502642,666534.2122068573,1
665203,zhe0oiJ91u@gmail.com,0,1,97,851434.8010684578,631786.3100483057,0
665203,Mf2akKQAWC@gmail.com,0,0,NA,199081.0484695533,176563.77327437283,1
665203,kzzWbyTQZd@mail.com,0,0,97,837480.0880424257,849374.85888615,0
665203,GV6ViqtZfh@outlook.com,0,0,64,289945.9591552709,250454.53640305402,1
665203,Tep4xlvI8w@mail.com,0,0,51,162401.44150519796,175448.3445693945,0
665203,cRvZIVUp18@gmail.com,0,0,95,678401.8218450698,871972.5073140148,0
665203,sjYU2ynKuR@mail.com,0,NA,117,1519110.1401650794,1300263.371906058,1
665203,B64agJtGjW@gmail.com,0,NA,73,406626.26683162205,400754.46702193626,0
665203,Erz3yc450F@gmail.com,1,0,48,133374.59226623282,94878.9781624601,0
665204,5j8CAXoPAW@gmail.com,0,0,58,263082.12789300125,218075.8302407262,0
